Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,GEO
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",27.17,,%,2017,6.2.1,GEO
Georgia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",15.87,,%,2017,6.2.1,GEO
Georgia,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,GEO
Georgia,Proportion of Seats Held by Women in National Parliaments,14.77,,%,2019,5.5.1,GEO
Georgia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,GEO
Georgia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,GEO
Georgia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),…,,%,2018,4.c.1,GEO
Georgia,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,GEO
Georgia,Renewable Energy Share in the Total Final Energy Consumption,28.66,,%,2017,7.2.1,GEO
Georgia,Surface Area,69.7,,'000  km2,,,GEO
Georgia,Total Fertility Rate,2.06,,births per woman,2018,,GEO
Georgia,Total Official Flows for Infrastructure - Official Development Assistance (ODA),211.26,,"disbursements, constant 2017, $ million",2018,9.a.1,GEO
Georgia,Total Official Flows for Infrastructure - Other Official Flows (OOF),245.77,,"disbursements, constant 2017, $ million",2018,9.a.1,GEO
Georgia,Total Outstanding,15008.7,,$ million,2018,,GEO
Georgia,Total Outstanding,90.57,,% of GNI,2018,,GEO
Georgia,Total Population,3.73,,million,2019,,GEO
Georgia,Trade Balance,-29.82,,% of GDP,2019,,GEO
Georgia,Tuberculosis Incidence,80,,"per 100,000 population",2018,3.3.2,GEO
Georgia,Under-5 Mortality Rate,9.8,,"per 1,000 live births",2018,3.2.1,GEO
Georgia,"Unemployment Rate, by Sex (Female)",12.88,,%,2019,8.5.2,GEO
Georgia,"Unemployment Rate, by Sex (Male)",15.64,,%,2019,8.5.2,GEO
Georgia,"Unemployment Rate, by Sex (Total)",14.4,,%,2019,8.5.2,GEO
Georgia,Volume of Remittances in United States Dollars as a Proportion of Total GDP,11.56,,%,2018,17.3.2,GEO
"Hong Kong, China",Age Dependency Ratio,40.4,,% of working-age population,2018,,HKG
"Hong Kong, China","Annual Change 
in Money Supply",2.77,,%,2019,,HKG
"Hong Kong, China","Annual Growth Rate of GDP



",-1.19,,%,2019,,HKG
"Hong Kong, China",Annual Growth Rate of Real GDP per Employed Person,1.26,,%,2019,8.2.1,HKG
"Hong Kong, China",Annual Real Growth Rates on Value Added (Agriculture),0.2,,%,2019,,HKG
"Hong Kong, China",Annual Real Growth Rates on Value Added (Industry),-3.5,,%,2019,,HKG
"Hong Kong, China",Annual Real Growth Rates on Value Added (Services),0.4,,%,2019,,HKG
"Hong Kong, China",Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,35,7,μg/m3,2018,11.6.2,HKG
"Hong Kong, China",Average Annual Population Growth Rate,0.8,,%,2014-2019,,HKG
"Hong Kong, China",CO2 Emissions,44.03,,Million Metric Tons,2017,9.4.1,HKG
"Hong Kong, China",CO2 Emissions,0.11,,Per Unit of GDP (PPP),2017,9.4.1,HKG
"Hong Kong, China",Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,HKG
"Hong Kong, China",Current Account Balance,6.4,,% of GDP,2019,,HKG
"Hong Kong, China",Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,HKG
"Hong Kong, China",Domestic Material Consumption,…,,Million Metric Tons,2017,12.2.2,HKG
"Hong Kong, China",Domestic Material Consumption,…,,Per Capita,2017,12.2.2,HKG
"Hong Kong, China",Forest Area as a Proportion of Total Land Area,…,,%,2015,15.1.1,HKG
"Hong Kong, China",Government Finance - Expenditure,21.3,,% of  GDP,2019,,HKG
"Hong Kong, China",Government Finance - Fiscal Balance,-1.3,,% of  GDP,2019,,HKG
"Hong Kong, China",Government Finance - Revenue,19.8,,% of  GDP,2019,,HKG
"Hong Kong, China",Gross Domestic Investment,21.77,7,% of GDP,2018,,HKG
"Hong Kong, China",Gross International Reserves,439206.01,,$ million,2019,,HKG
"Hong Kong, China",Growth Rate of Merchandise Exports,-4.1,,%,2019,,HKG
"Hong Kong, China",Growth Rate of Merchandise Imports,-6,,%,2019,,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,HKG
"Hong Kong, China",Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,HKG
"Hong Kong, China",Inflation Rate,2.9,,%,2019,,HKG
"Hong Kong, China",Material Footprint,…,,Million Metric Tons,2017,12.2.1,HKG
"Hong Kong, China",Material Footprint,…,,Per Capita,2017,12.2.1,HKG
"Hong Kong, China",Maternal Mortality Ratio,1.8,7,"per 100,000 live births",2018,3.1.1,HKG
"Hong Kong, China","Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",…,,%,2016,3.4.1,HKG
"Hong Kong, China",Neonatal Mortality Rate,1,,"per 1,000 live births",2018,3.2.2,HKG
"Hong Kong, China","Nominal Gross Domestic Product
(GDP)



",365.84,,$ billion,2019,,HKG
"Hong Kong, China",Number of ATMs,51.8,,"per 100,000 adults",2018,8.10.1,HKG
"Hong Kong, China",Number of Commercial Bank Branches ,21.19,,"per 100,000 adults",2018,8.10.1,HKG
"Hong Kong, China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),100,,%,2018,4.2.2,HKG
"Hong Kong, China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),94.22,,%,2018,4.2.2,HKG
"Hong Kong, China",Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),96.9,,%,2018,4.2.2,HKG
"Hong Kong, China","Per Capita Gross National Income (GNI), Atlas Method",50300,,$,2018,,HKG
"Hong Kong, China",Population Density,6778,,persons per km2 of surface area,2019,,HKG
"Hong Kong, China",Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,HKG
"Hong Kong, China",Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,HKG
"Hong Kong, China",Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,HKG
"Hong Kong, China",Prevalence of Undernourishment,–,,%,2016-2018,2.1.1,HKG
"Hong Kong, China",Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,95.28,,%,2017,8.10.2,HKG
"Hong Kong, China",Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,HKG
"Hong Kong, China",Proportion of Employed Population below $1.90 PPP a Day (Female),–,,%,2019,1.1.1,HKG
"Hong Kong, China",Proportion of Employed Population below $1.90 PPP a Day (Male),–,,%,2019,1.1.1,HKG
"Hong Kong, China",Proportion of Employed Population below $1.90 PPP a Day (Total),–,,%,2019,1.1.1,HKG
"Hong Kong, China",Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,HKG
"Hong Kong, China",Proportion of Population Covered by Mobile Network - 2G,100,,%,2018,9.c.1,HKG
"Hong Kong, China",Proportion of Population Covered by Mobile Network - 3G,99,,%,2018,9.c.1,HKG
"Hong Kong, China",Proportion of Population Covered by Mobile Network - LTE/WiMAX,99,,%,2018,9.c.1,HKG
"Hong Kong, China","Proportion of Population Living below
the National Poverty Line",14.9,,%,2018,,HKG
"Hong Kong, China",Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,HKG
"Hong Kong, China",Proportion of Population Using Safely Managed Drinking Water Services (Total),100,,%,2017,6.1.1,HKG
"Hong Kong, China",Proportion of Population Using Safely Managed Drinking Water Services (Urban),100,,%,2017,6.1.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",91.77,,%,2017,6.2.1,HKG
"Hong Kong, China","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",91.77,,%,2017,6.2.1,HKG
"Hong Kong, China",Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,HKG
"Hong Kong, China",Proportion of Seats Held by Women in National Parliaments,17.14,5,%,2016,5.5.1,HKG
"Hong Kong, China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,HKG
"Hong Kong, China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),96.49,,%,2018,4.c.1,HKG
"Hong Kong, China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),96.55,,%,2018,4.c.1,HKG
"Hong Kong, China",Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),…,,%,2018,4.c.1,HKG
"Hong Kong, China",Renewable Energy Share in the Total Final Energy Consumption,0.78,,%,2017,7.2.1,HKG
"Hong Kong, China",Surface Area,1.11,,'000  km2,,,HKG
"Hong Kong, China",Total Fertility Rate,1.05,"8,*",births per woman,2019,,HKG
"Hong Kong, China",Total Official Flows for Infrastructure - Official Development Assistance (ODA),…,,"disbursements, constant 2017, $ million",2018,9.a.1,HKG
"Hong Kong, China",Total Official Flows for Infrastructure - Other Official Flows (OOF),…,,"disbursements, constant 2017, $ million",2018,9.a.1,HKG
"Hong Kong, China",Total Outstanding,1696007.92,,$ million,2018,,HKG
"Hong Kong, China",Total Outstanding,452.56,,% of GNI,2018,,HKG
"Hong Kong, China",Total Population,7.52,,million,2019,,HKG
"Hong Kong, China",Trade Balance,-6.14,,% of GDP,2019,,HKG
"Hong Kong, China",Tuberculosis Incidence,67,,"per 100,000 population",2018,3.3.2,HKG
"Hong Kong, China",Under-5 Mortality Rate,1.95,,"per 1,000 live births",2018,3.2.1,HKG
"Hong Kong, China","Unemployment Rate, by Sex (Female)",3.2,,%,2019,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, by Sex (Male)",4.05,,%,2019,8.5.2,HKG
"Hong Kong, China","Unemployment Rate, by Sex (Total)",3.63,,%,2019,8.5.2,HKG
"Hong Kong, China",Volume of Remittances in United States Dollars as a Proportion of Total GDP,0.12,,%,2018,17.3.2,HKG
India,Age Dependency Ratio,49.78,,% of working-age population,2018,,IND
India,"Annual Change 
in Money Supply",6.39,,%,2019,,IND
India,"Annual Growth Rate of GDP



",5.02,,%,2019,,IND
India,Annual Growth Rate of Real GDP per Employed Person,4.78,,%,2019,8.2.1,IND
India,Annual Real Growth Rates on Value Added (Agriculture),3.66,,%,2019,,IND
India,Annual Real Growth Rates on Value Added (Industry),1.84,,%,2019,,IND
India,Annual Real Growth Rates on Value Added (Services),7.04,,%,2019,,IND
India,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,68,,μg/m3,2016,11.6.2,IND
India,Average Annual Population Growth Rate,1.14,,%,2014-2019,,IND
India,CO2 Emissions,2161.57,,Million Metric Tons,2017,9.4.1,IND
India,CO2 Emissions,0.26,,Per Unit of GDP (PPP),2017,9.4.1,IND
India,Coverage of Protected Areas in Relation to Marine Areas,0.11,,%,2018,14.5.1,IND
India,Current Account Balance,-0.92,,% of GDP,2019,,IND
India,Debt Service as a Percentage of Exports of Goods and Services,4.22,,%,2018,17.4.1,IND
India,Domestic Material Consumption,7403.17,,Million Metric Tons,2017,12.2.2,IND
India,Domestic Material Consumption,5.53,,Per Capita,2017,12.2.2,IND
India,Forest Area as a Proportion of Total Land Area,23.77,,%,2015,15.1.1,IND
India,Government Finance - Expenditure,13.2,,% of  GDP,2019,,IND
India,Government Finance - Fiscal Balance,-3.76,,% of  GDP,2019,,IND
India,Government Finance - Revenue,9.4,,% of  GDP,2019,,IND
India,Gross Domestic Investment,32.2,7,% of GDP,2018,,IND
India,Gross International Reserves,471300,,$ million,2019,,IND
India,Growth Rate of Merchandise Exports,-1.59,,%,2019,,IND
India,Growth Rate of Merchandise Imports,-5.93,,%,2019,,IND
India,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,IND
India,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,IND
India,Inflation Rate,4.7,,%,2019,,IND
India,Material Footprint,6161.99,,Million Metric Tons,2017,12.2.1,IND
India,Material Footprint,4.6,,Per Capita,2017,12.2.1,IND
India,Maternal Mortality Ratio,145,,"per 100,000 live births",2017,3.1.1,IND
India,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",23.3,,%,2016,3.4.1,IND
India,Neonatal Mortality Rate,22.7,,"per 1,000 live births",2018,3.2.2,IND
India,"Nominal Gross Domestic Product
(GDP)



",2888.53,,$ billion,2019,,IND
India,Number of ATMs,21.64,,"per 100,000 adults",2018,8.10.1,IND
India,Number of Commercial Bank Branches ,14.5,,"per 100,000 adults",2018,8.10.1,IND
India,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,IND
India,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,IND
India,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,IND
India,"Per Capita Gross National Income (GNI), Atlas Method",2020,,$,2018,,IND
India,Population Density,408,,persons per km2 of surface area,2019,,IND
India,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.6,,%,2017,2.2.2,IND
India,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,17.3,,%,2017,2.2.2,IND
India,Prevalence of Stunting among Children under 5 Years of Age,34.7,,%,2017,2.2.1,IND
India,Prevalence of Undernourishment,14.5,,%,2016-2018,2.1.1,IND
India,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,79.88,,%,2017,8.10.2,IND
India,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,79.7,,%,2016,16.9.1,IND
India,Proportion of Employed Population below $1.90 PPP a Day (Female),12.53,,%,2019,1.1.1,IND
India,Proportion of Employed Population below $1.90 PPP a Day (Male),10.18,,%,2019,1.1.1,IND
India,Proportion of Employed Population below $1.90 PPP a Day (Total),10.65,,%,2019,1.1.1,IND
India,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,IND
India,Proportion of Population Covered by Mobile Network - 2G,97,,%,2018,9.c.1,IND
India,Proportion of Population Covered by Mobile Network - 3G,94,,%,2018,9.c.1,IND
India,Proportion of Population Covered by Mobile Network - LTE/WiMAX,94,,%,2018,9.c.1,IND
India,"Proportion of Population Living below
the National Poverty Line",…,,%,2018,,IND
India,Proportion of Population Using Safely Managed Drinking Water Services (Rural),56,,%,2017,6.1.1,IND
India,Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,IND
India,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",39.05,,%,2017,6.2.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,IND
India,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,IND
India,Proportion of Population with Access to Electricity,92.62,,%,2017,7.1.1,IND
India,Proportion of Seats Held by Women in National Parliaments,14.39,,%,2019,5.5.1,IND
India,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),71.78,,%,2018,4.c.1,IND
India,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,IND
India,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),69.83,6,%,2017,4.c.1,IND
India,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),76.36,6,%,2017,4.c.1,IND
India,Renewable Energy Share in the Total Final Energy Consumption,32.2,,%,2017,7.2.1,IND
India,Surface Area,3287.26,,'000  km2,,,IND
India,Total Fertility Rate,2.22,,births per woman,2018,,IND
India,Total Official Flows for Infrastructure - Official Development Assistance (ODA),2991.83,,"disbursements, constant 2017, $ million",2018,9.a.1,IND
India,Total Official Flows for Infrastructure - Other Official Flows (OOF),3893.29,,"disbursements, constant 2017, $ million",2018,9.a.1,IND
